fips,county,state,population,mental_distress_pct,depression_pct,uninsured_pct,obesity_pct,physical_inactivity_pct,poor_health_pct,diabetes_pct,binge_drinking_pct,food_insecurity_pct,housing_insecurity_pct,mental_distress_2020,depression_2020,uninsured_2020,rucc_code,is_rural,is_wa
01001,Autauga,AL,60342,17.0,25.1,8.8,39.8,27.0,21.0,13.3,14.3,16.5,12.4,15.6,24.5,15.3,,0,0
01003,Baldwin,AL,253507,15.1,22.5,8.3,35.2,25.4,19.3,13.4,14.6,13.2,9.7,14.7,24.6,14.1,,0,0
01005,Barbour,AL,24585,18.5,22.1,14.3,46.8,36.2,31.4,19.6,12.4,30.5,21.1,17.0,23.7,23.4,,0,0
01007,Bibb,AL,21868,18.9,24.4,12.6,43.9,33.3,27.6,16.2,14.0,23.5,16.1,16.8,24.8,19.2,,0,0
01009,Blount,AL,59816,17.5,24.8,11.5,36.1,29.1,23.6,13.8,14.5,16.7,11.8,16.3,26.7,17.8,,0,0
01011,Bullock,AL,9897,20.1,21.1,17.7,51.3,44.2,39.4,24.6,10.6,42.9,29.4,17.0,22.0,25.1,,0,0
01013,Butler,AL,18382,18.3,22.5,11.3,40.4,37.1,28.9,18.9,11.6,26.7,18.7,16.2,23.9,18.6,,0,0
01015,Calhoun,AL,116429,18.4,24.6,10.6,38.6,31.9,25.2,14.8,14.3,20.5,14.1,16.3,26.4,17.2,,0,0
01017,Chambers,AL,34079,18.3,22.7,11.5,41.5,34.3,27.6,17.9,11.8,24.6,17.4,16.4,24.1,18.5,,0,0
01019,Cherokee,AL,25666,17.4,25.0,10.0,39.5,31.4,25.5,16.0,13.5,16.9,11.2,16.0,25.9,16.4,,0,0
01021,Chilton,AL,46431,18.2,24.5,11.6,40.0,31.1,24.0,14.1,14.2,18.7,13.2,16.7,27.0,18.5,,0,0
01023,Choctaw,AL,12252,17.8,23.3,11.0,44.4,36.4,30.3,20.1,11.3,25.4,17.0,15.9,23.7,18.0,,0,0
01025,Clarke,AL,22337,18.0,22.6,11.0,43.9,34.4,28.6,18.4,11.6,25.8,18.0,16.6,23.6,19.3,,0,0
01027,Clay,AL,14111,18.0,24.4,11.0,42.5,32.7,27.0,16.5,13.3,20.2,13.6,16.6,26.1,17.9,,0,0
01029,Cleburne,AL,15639,18.1,25.5,10.1,37.4,30.5,24.0,14.6,14.6,17.0,11.5,16.3,26.8,16.6,,0,0
01031,Coffee,AL,55643,17.7,24.3,11.3,41.0,29.9,23.9,14.8,14.4,19.6,13.9,16.1,26.1,16.9,,0,0
01033,Colbert,AL,58361,17.3,24.5,9.8,37.5,28.6,23.6,15.0,14.0,17.6,12.7,16.1,24.8,16.5,,0,0
01035,Conecuh,AL,11174,18.3,22.3,12.7,46.4,39.4,33.3,22.1,10.6,30.2,20.0,16.2,23.7,19.6,,0,0
01037,Coosa,AL,10268,16.9,22.2,10.9,41.9,33.5,27.6,18.6,12.0,21.2,14.5,15.4,23.7,17.6,,0,0
01039,Covington,AL,37952,18.0,24.3,10.4,37.9,31.9,26.3,16.3,12.9,19.0,13.0,16.1,25.5,16.4,,0,0
01041,Crenshaw,AL,13101,18.0,23.8,11.2,40.5,32.6,26.5,16.6,13.4,21.8,15.1,16.3,25.0,18.2,,0,0
01043,Cullman,AL,92016,17.6,25.4,10.1,36.4,27.3,22.9,13.4,15.3,15.7,11.1,16.1,25.9,16.6,,0,0
01045,Dale,AL,49871,18.5,24.8,11.5,41.3,31.7,26.0,15.8,13.3,21.3,15.1,16.5,25.0,17.8,,0,0
01047,Dallas,AL,36165,18.4,20.3,12.3,46.3,38.0,33.2,22.4,10.1,34.0,23.5,17.1,23.0,20.1,,0,0
01049,DeKalb,AL,72569,18.9,26.3,14.7,38.6,33.8,28.1,15.7,14.1,22.6,14.8,17.3,27.1,20.4,,0,0
01051,Elmore,AL,90441,17.5,23.0,9.2,38.9,26.2,21.7,13.0,14.8,17.3,12.7,16.0,25.9,15.4,,0,0
01053,Escambia,AL,36558,19.6,24.0,13.1,43.9,35.7,31.4,18.5,12.9,28.6,19.1,17.5,24.8,20.7,,0,0
01055,Etowah,AL,103241,18.1,24.9,10.8,43.8,33.3,26.5,16.3,13.9,19.7,13.9,16.4,26.7,16.8,,0,0
01057,Fayette,AL,15967,18.2,25.7,11.0,40.6,32.7,26.4,16.6,13.7,20.0,13.4,16.9,27.8,17.3,,0,0
01059,Franklin,AL,31802,18.6,25.1,15.7,42.2,33.9,28.6,16.4,13.7,23.8,15.9,17.0,26.5,21.2,,0,0
01061,Geneva,AL,26988,18.3,25.7,11.8,42.3,32.0,27.2,16.4,14.0,20.9,14.0,17.1,27.6,17.9,,0,0
01063,Greene,AL,7341,19.0,20.4,14.6,52.7,44.7,38.7,27.1,8.8,41.3,27.3,17.1,22.1,22.7,,0,0
01065,Hale,AL,14888,18.4,21.2,12.4,47.6,36.0,30.5,19.7,11.2,30.1,21.2,16.8,23.6,20.4,,0,0
01067,Henry,AL,17899,17.0,23.0,10.3,41.3,31.4,25.2,16.7,12.7,19.8,13.7,15.8,24.3,17.2,,0,0
01069,Houston,AL,108462,18.2,24.9,10.4,40.5,29.0,24.9,15.7,13.3,20.4,15.0,16.3,26.0,16.9,,0,0
01071,Jackson,AL,53467,18.5,26.7,11.2,39.3,32.5,26.8,16.0,13.9,19.6,12.8,16.9,27.6,16.8,,0,0
01073,Jefferson,AL,662895,16.8,22.7,9.1,37.4,28.0,20.9,15.1,14.5,20.1,15.0,14.9,22.3,15.3,,0,0
01075,Lamar,AL,13661,18.3,24.7,10.9,40.8,32.3,27.1,16.7,13.3,19.8,13.2,16.1,26.2,17.1,,0,0
01077,Lauderdale,AL,96814,17.5,24.2,9.0,35.6,26.7,21.0,12.9,14.6,15.1,10.8,15.8,25.4,15.1,,0,0
01079,Lawrence,AL,33502,18.3,24.9,10.5,39.5,31.1,25.4,15.5,14.0,19.7,13.6,17.0,27.0,17.4,,0,0
01081,Lee,AL,183215,17.6,23.6,8.8,38.4,25.0,19.7,12.5,15.5,17.1,12.9,16.2,25.3,14.6,,0,0
01083,Limestone,AL,114654,16.4,23.7,9.2,39.6,25.4,20.2,12.5,15.3,15.1,11.5,15.6,24.9,15.9,,0,0
01085,Lowndes,AL,9717,19.1,20.9,13.9,51.2,41.4,36.0,24.1,9.6,38.3,26.0,17.1,23.0,21.2,,0,0
01087,Macon,AL,18370,18.8,20.7,11.2,46.7,35.2,29.2,20.0,10.4,31.3,22.0,17.1,22.2,19.3,,0,0
01089,Madison,AL,412600,15.5,21.6,8.0,39.9,22.7,17.8,12.1,14.6,13.3,10.8,14.7,23.1,13.4,,0,0
01091,Marengo,AL,18684,17.8,22.3,11.5,43.1,34.6,29.1,19.8,11.5,27.3,19.0,16.2,23.7,18.6,,0,0
